step,loss
358.0,0.0439
359.0,0.0385
360.0,0.0566
361.0,0.0506
362.0,0.0374
363.0,0.0458
364.0,0.0355
365.0,0.0388
366.0,0.0508
367.0,0.057
368.0,0.0381
369.0,0.0512
370.0,0.0671
371.0,0.0619
372.0,0.0513
373.0,0.063
374.0,0.0464
375.0,0.0532
376.0,0.0312
377.0,0.0443
378.0,0.0392
379.0,0.0584
380.0,0.0415
381.0,0.0399
382.0,0.0356
383.0,0.0375
384.0,0.0424
385.0,0.0577
386.0,0.0322
387.0,0.044
388.0,0.0488
389.0,0.0389
390.0,0.045
391.0,0.035
392.0,0.0336
393.0,0.0516
394.0,0.0285
395.0,0.0303
396.0,0.0489
397.0,0.0433
398.0,0.0394
399.0,0.0358
400.0,0.0591
401.0,0.044
402.0,0.0411
403.0,0.0552
404.0,0.042
405.0,0.0541
406.0,0.0481
407.0,0.0429
408.0,0.0553
409.0,0.0414
410.0,0.0523
411.0,0.0441
412.0,0.0533
413.0,0.0339
414.0,0.0455
415.0,0.0523
416.0,0.0459
417.0,0.0326
418.0,0.0386
419.0,0.039
420.0,0.0311
421.0,0.0629
422.0,0.0329
423.0,0.0366
424.0,0.0313
425.0,0.0423
426.0,0.0674
427.0,0.0378
428.0,0.0334
429.0,0.0593
430.0,0.0348
431.0,0.0347
432.0,0.0432
433.0,0.047
434.0,0.0437
435.0,0.0429
436.0,0.0736
437.0,0.0455
438.0,0.0372
439.0,0.0489
440.0,0.0413
441.0,0.0407
442.0,0.0448
443.0,0.0404
444.0,0.0435
445.0,0.0393
446.0,0.0642
447.0,0.0466
448.0,0.0467
449.0,0.0431
450.0,0.0573
451.0,0.0361
452.0,0.0538
453.0,0.0462
454.0,0.063
455.0,0.0516
456.0,0.0454
457.0,0.0466
458.0,0.0435
459.0,0.0462
460.0,0.0445
461.0,0.0353
462.0,0.0552
463.0,0.0383
464.0,0.0569
465.0,0.0592
466.0,0.0474
467.0,0.0528
468.0,0.0643
469.0,0.0522
470.0,0.0434
471.0,0.0407
472.0,0.0333
473.0,0.0565
474.0,0.0349
475.0,0.0519
476.0,0.0685
477.0,0.0582
478.0,0.0485
479.0,0.0443
480.0,0.0325
481.0,0.0544
482.0,0.0396
483.0,0.0369
484.0,0.0427
485.0,0.0413
486.0,0.0546
487.0,0.039
488.0,0.0411
489.0,0.0488
490.0,0.0382
491.0,0.0396
492.0,0.0411
493.0,0.0399
494.0,0.046
495.0,0.0577
496.0,0.0463
497.0,0.0514
498.0,0.0437
499.0,0.0552
500.0,0.0471
501.0,0.0372
502.0,0.0318
503.0,0.0504
504.0,0.0408
505.0,0.042
506.0,0.0456
507.0,0.0339
508.0,0.0485
509.0,0.0355
510.0,0.0319
511.0,0.0454
512.0,0.0359
513.0,0.0452
514.0,0.055
515.0,0.0384
516.0,0.0421
517.0,0.0393
518.0,0.0499
519.0,0.0245
520.0,0.0376
521.0,0.0475
522.0,0.0399
523.0,0.0475
524.0,0.0491
525.0,0.0433
526.0,0.0407
527.0,0.0372
528.0,0.0622
529.0,0.0342
530.0,0.0444
531.0,0.0405
532.0,0.0383
533.0,0.0303
534.0,0.0373
535.0,0.0678
536.0,0.0408
537.0,0.0474
538.0,0.0455
539.0,0.077
540.0,0.0362
541.0,0.0317
542.0,0.0434
543.0,0.0395
544.0,0.0443
545.0,0.0374
546.0,0.0529
547.0,0.0445
548.0,0.0353
549.0,0.0547
550.0,0.0416
551.0,0.0414
552.0,0.0422
553.0,0.0394
554.0,0.0321
555.0,0.0446
556.0,0.04
557.0,0.0383
558.0,0.0352
559.0,0.0405
560.0,0.0499
561.0,0.0276
562.0,0.0591
563.0,0.0379
564.0,0.0387
565.0,0.0453
566.0,0.0471
567.0,0.0395
568.0,0.034
569.0,0.0637
570.0,0.0409
571.0,0.0386
572.0,0.0406
573.0,0.0412
574.0,0.0313
575.0,0.0312
576.0,0.0529
577.0,0.0471
578.0,0.0434
579.0,0.0333
580.0,0.055
581.0,0.0529
582.0,0.0592
583.0,0.0384
584.0,0.0514
585.0,0.0435
586.0,0.0509
587.0,0.0286
588.0,0.0284
589.0,0.039
590.0,0.0451
591.0,0.036
592.0,0.0522
593.0,0.043
594.0,0.0424
595.0,0.0568
596.0,0.0473
597.0,0.046
598.0,0.0574
599.0,0.0446
600.0,0.0453
601.0,0.0334
602.0,0.0321
603.0,0.0289
604.0,0.0382
605.0,0.0328
606.0,0.041
607.0,0.0393
608.0,0.0336
609.0,0.0324
610.0,0.0289
611.0,0.0369
612.0,0.0358
613.0,0.0412
614.0,0.0425
615.0,0.0398
616.0,0.0343
617.0,0.0349
618.0,0.0354
619.0,0.05
620.0,0.0392
621.0,0.0484
622.0,0.0351
623.0,0.0502
624.0,0.0415
625.0,0.046
626.0,0.0425
627.0,0.0362
628.0,0.0447
629.0,0.0389
630.0,0.0408
631.0,0.0324
632.0,0.0359
633.0,0.0451
634.0,0.0643
635.0,0.0451
636.0,0.0434
637.0,0.0343
638.0,0.0366
639.0,0.0431
640.0,0.0345
641.0,0.038
642.0,0.0426
643.0,0.0437
644.0,0.0561
645.0,0.0388
646.0,0.0442
647.0,0.0501
648.0,0.0393
649.0,0.0363
650.0,0.0366
651.0,0.0355
652.0,0.0444
653.0,0.0447
654.0,0.0336
655.0,0.0571
656.0,0.0394
657.0,0.0508
658.0,0.0391
659.0,0.0463
660.0,0.0314
661.0,0.033
662.0,0.0374
